EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
462725.300,491638.400,597915.700,603829.800,596397.900,177937.800,480696.800,159174.500,0.000
459504.000,486222.200,595187.600,608940.000,593643.300,178356.500,476134.100,157743.600,0.000
454317.000,481115.600,593695.100,608280.300,592305.600,177460.500,469835.400,155371.800,0.000
447269.800,475699.800,592042.900,599408.800,590775.600,173806.300,461647.900,153267.700,0.000
441154.600,469958.100,588777.100,590796.400,587421.800,169814.600,454181.500,152332.600,0.000
437960.300,464884.100,584432.800,590180.600,582885.100,168611.200,449607.700,152017.800,0.000
436710.800,461647.200,580852.400,594159.900,579248.100,170020.500,447269.300,151221.900,0.000
434788.200,459914.500,578671.000,593079.800,577197.500,170721.000,444663.500,149743.000,0.000
431356.600,458198.900,576753.400,584525.200,575405.100,168650.300,440903.300,148486.000,0.000
428307.700,455800.000,574005.400,576588.300,572605.100,165704.800,437786.300,148182.400,0.000
427285.000,453378.700,570799.900,576542.300,569248.300,164911.500,436832.000,148302.900,0.000
427212.800,451714.100,568286.900,580935.700,566696.200,166208.200,436851.600,147747.100,0.000
425759.200,450516.900,566701.400,580555.100,565238.000,166674.200,435443.000,146360.400,0.000
422542.600,448861.300,565028.500,573005.600,563687.200,164665.500,432192.700,145140.800,0.000
419568.800,446476.600,562408.400,565605.500,561025.800,161989.800,429119.400,144841.900,0.000
418396.200,444062.700,559284.600,565106.600,557763.900,161257.500,427850.500,144930.600,0.000
418048.000,442282.300,556745.100,568676.700,555182.300,162290.300,427483.000,144346.200,0.000
416482.300,440894.400,555033.900,568197.900,553580.600,162533.600,425960.300,142977.300,0.000
413428.900,439170.400,553278.300,561415.900,551936.200,160667.700,422905.200,141796.300,0.000
410656.900,436911.900,550725.800,554618.500,549352.900,158312.600,420020.800,141494.700,0.000
409455.600,434655.800,547743.200,553739.400,546250.400,157639.700,418677.300,141541.900,0.000
408917.500,432882.000,545253.000,556473.900,543719.600,158401.600,418104.400,140949.800,0.000
407303.800,431384.300,543465.400,555874.400,542023.800,158439.800,416567.400,139640.000,0.000
404447.000,429622.700,541648.200,549894.400,540304.900,156733.800,413746.300,138516.800,0.000
401869.700,427475.400,539168.900,543767.100,537804.100,154687.500,411054.300,138195.300,0.000
400615.000,425347.900,536327.000,542547.500,534861.400,154051.500,409627.600,138176.700,0.000
399877.600,423572.200,533884.800,544431.900,532381.800,154544.600,408839.900,137577.100,0.000
398224.200,421979.500,532020.400,543663.900,530592.100,154399.800,407277.700,136344.600,0.000
395566.300,420189.700,530140.400,538447.800,528796.300,152858.900,404676.600,135287.800,0.000
393172.500,418140.400,527729.100,532997.600,526371.200,151099.300,402170.300,134935.800,0.000
391857.900,416122.800,525022.100,531486.600,523582.500,150484.800,400669.900,134839.500,0.000
390931.900,414347.100,522629.000,532560.200,521156.200,150725.900,399683.500,134234.100,0.000
389250.700,412679.500,520696.000,531602.100,519282.100,150423.500,398096.900,133088.700,0.000
386785.100,410872.200,518758.400,527084.900,517414.300,149042.800,395698.000,132101.400,0.000
384558.300,408907.600,516409.400,522283.600,515058.100,147539.800,393364.600,131713.900,0.000
383183.300,406981.500,513827.600,520532.800,512412.300,146935.300,391801.900,131535.800,0.000
382086.700,405207.900,511482.700,520867.200,510039.300,146950.000,390638.900,130926.500,0.000
380387.800,403484.300,509491.400,519714.200,508092.700,146516.500,389030.000,129870.500,0.000
378100.500,401668.700,507503.900,515814.100,506161.600,145284.400,386810.800,128951.800,0.000
376021.400,399775.900,505211.200,511608.700,503866.700,144003.800,384633.100,128527.400,0.000
374590.000,397924.800,502742.100,509669.200,501349.700,143401.400,383020.700,128269.400,0.000
373345.400,396155.700,500443.700,509355.000,499028.200,143220.100,381706.800,127657.900,0.000
371638.000,394393.300,498405.800,508014.800,497023.000,142681.200,380079.200,126688.700,0.000
369510.500,392577.300,496377.600,504642.500,495038.800,141582.000,378015.500,125834.600,0.000
367558.900,390744.600,494135.200,500966.100,492798.100,140488.500,375974.200,125375.000,0.000
366077.800,388953.700,491765.400,498885.200,490394.300,139883.200,374324.400,125043.100,0.000
364709.900,387191.500,489511.100,498021.500,488121.900,139538.000,372886.800,124430.800,0.000
363001.500,385405.500,487438.500,496510.200,486071.800,138917.700,371244.900,123542.300,0.000
361013.400,383595.700,485379.400,493576.100,484046.000,137933.700,369312.300,122747.200,0.000
359169.400,381812.700,483181.400,490355.000,481852.500,136993.200,367387.800,122255.700,0.000
357647.200,380069.800,480897.500,488175.200,479546.400,136382.100,365712.600,121858.200,0.000
