EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
612383.600,638931.900,750000.100,750000.100,750000.100,278745.200,631214.600,239590.800,0.000
607449.300,633808.000,750000.100,750000.100,750000.100,276200.600,626041.400,238294.900,0.000
605259.300,631344.600,750000.100,750000.100,750000.100,276187.700,622396.600,238135.400,0.000
604554.900,630262.100,748593.800,748729.800,748509.600,277108.500,619556.700,238249.100,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
602372.700,627725.200,746832.500,746967.600,746748.500,276322.400,615946.800,237573.900,0.000
527321.100,543660.400,711265.300,711392.500,711189.100,251788.800,501070.800,223216.200,0.000
527107.400,543392.700,711164.900,711291.900,711088.800,252337.100,500283.700,223557.800,0.000
528578.100,544693.400,711102.300,711228.900,711025.800,254084.500,500339.300,224297.600,0.000
528789.600,544736.100,710984.100,711110.900,710907.600,254354.500,499681.000,224305.500,0.000
526943.500,542809.000,710805.600,710932.300,710729.100,252769.500,497918.500,223574.700,0.000
524509.900,540393.100,710639.900,710766.800,710563.700,251110.100,495970.400,222914.000,0.000
524329.800,540166.500,710572.600,710698.700,710496.200,251671.000,495261.200,223272.900,0.000
525848.300,541521.400,710541.300,710667.800,710464.800,253441.000,495403.200,224027.600,0.000
526124.300,541636.500,710446.900,710573.400,710370.300,253755.300,494836.100,224070.300,0.000
524352.300,539795.800,710298.100,710424.800,710221.800,252223.900,493173.700,223376.700,0.000
521966.800,537433.300,710158.300,710284.900,710082.800,250580.500,491302.400,222727.300,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
521789.000,537209.300,710108.800,710235.300,710033.000,251115.200,490630.300,223071.100,0.000
