timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1681244882.009274,96981.1875,97031.875,97174.3046875,97185.390625,97162.0546875,97318.9609375,97330.5,97342.4765625,0.0
1681244882.0112033,98520.7734375,98572.1796875,98714.875,98726.2265625,98702.265625,98860.96875,98871.0703125,98883.3203125,0.0
1681244882.013652,99363.96875,99415.109375,99558.1640625,99569.6953125,99545.5546875,99704.5234375,99714.53125,99727.140625,0.0
1681244882.016746,98427.96875,98479.015625,98622.0703125,98633.25,98609.4609375,98767.7109375,98778.3515625,98790.6015625,0.0
1681244882.0167687,97040.1953125,97091.3359375,97234.203125,97245.2890625,97221.6015625,97379.046875,97390.21875,97401.84375,0.0
1681244882.0186555,97234.3828125,97285.96875,97428.484375,97439.21875,97416.2421875,97573.328125,97584.5,97596.125,0.0
1681244882.0236087,98769.3203125,98820.4609375,98963.6015625,98974.515625,98951.0859375,99109.3359375,99119.53125,99132.40625,0.0
1681244882.0260985,99630.8515625,99681.546875,99825.21875,99836.6640625,99812.2578125,99971.671875,99980.96875,99994.0234375,0.0
1681244882.0285833,98704.7734375,98756.2734375,98899.4140625,98910.765625,98886.359375,99045.0546875,99055.3359375,99067.671875,0.0
1681244882.0316796,97309.9296875,97361.1640625,97503.765625,97514.671875,97490.8046875,97648.515625,97659.6015625,97671.671875,0.0
1681244882.0317094,97484.546875,97535.953125,97678.46875,97689.734375,97665.6875,97823.3984375,97834.21875,97846.375,0.0
1681244882.033589,99012.6875,99064.0078125,99207.2421875,99218.7734375,99194.6328125,99352.96875,99362.8984375,99375.953125,0.0
1681244882.0361617,99892.0078125,99942.7890625,100086.46875,100098.265625,100073.953125,100232.9140625,100242.75,100255.7109375,0.0
1681244882.0467086,98982.5625,99033.609375,99176.75,99188.015625,99163.875,99322.5703125,99332.9453125,99345.7265625,0.0
1681244882.0467207,97581.90625,97632.515625,97775.5625,97786.46875,97762.8671875,97920.9375,97931.8515625,97944.1875,0.0
1681244882.0491855,97735.9609375,97786.6484375,97929.34375,97940.703125,97917.09375,98074.8984375,98085.71875,98098.234375,0.0
1681244882.0492024,99260.1640625,99311.3125,99454.1796875,99465.890625,99441.84375,99599.9140625,99610.375,99623.515625,0.0
1681244882.0511217,100156.3828125,100207.4375,100350.484375,100362.6484375,100338.234375,100496.9375,100506.5,100520.1796875,0.0
1681244882.0585687,99259.71875,99310.5078125,99453.5546875,99465.1796875,99441.0390625,99599.46875,99609.5703125,99622.7109375,0.0
1681244882.0623584,97850.84375,97901.453125,98044.3203125,98055.40625,98031.8046875,98189.25,98200.25,98212.765625,0.0
1681244882.0705397,97983.171875,98033.953125,98177.0,98188.0,98164.484375,98322.0234375,98332.8359375,98345.0,0.0
1681244882.070564,99501.296875,99551.90625,99695.1328125,99707.203125,99682.8828125,99841.3125,99851.234375,99863.9296875,0.0
1681244882.0767837,100414.4140625,100465.4609375,100608.78125,100620.765625,100596.1796875,100755.5,100764.890625,100778.1171875,0.0
1681244882.0768015,99532.234375,99582.9296875,99725.9765625,99737.8671875,99713.4609375,99872.3359375,99882.2578125,99895.4921875,0.0
1681244882.0887182,98120.6796875,98170.921875,98313.796875,98325.0625,98301.6328125,98459.3515625,98470.2578125,98482.328125,0.0
1681244882.091818,98234.046875,98284.6484375,98427.34375,98438.6953125,98415.1796875,98572.8984375,98583.625,98595.875,0.0
1681244882.0918295,99746.71875,99797.7734375,99940.8203125,99952.7109375,99928.484375,100087.1796875,100097.1953125,100109.984375,0.0
1681244882.099197,100678.34375,100729.390625,100872.890625,100885.140625,100860.375,101019.6953125,101029.265625,101042.5,0.0
1681244882.0992303,99811.09375,99861.7890625,100005.015625,100017.0859375,99992.5,100151.2890625,100161.2109375,100174.4453125,0.0
1681244882.1067913,98390.6875,98441.734375,98584.609375,98596.3203125,98572.1796875,98730.1640625,98741.1640625,98753.5,0.0
1681244882.106806,98481.703125,98532.84375,98675.7109375,98687.3359375,98663.5546875,98821.359375,98832.1796875,98844.6953125,0.0
1681244882.114308,99986.5078125,100038.0078125,100180.8828125,100192.953125,100168.3671875,100327.6875,100337.4296875,100350.6640625,0.0
1681244882.114322,100934.8515625,100985.9921875,101129.3125,101141.2890625,101116.703125,101276.5625,101285.4140625,101299.1796875,0.0
1681244882.1211452,100081.90625,100132.6015625,100276.0078125,100287.6328125,100263.5859375,100422.640625,100431.9375,100445.34375,0.0
1681244882.1292937,98658.015625,98709.15625,98852.0234375,98863.3828125,98839.5078125,98997.671875,99008.21875,99020.734375,0.0
1681244882.1293328,98728.1953125,98779.3359375,98922.296875,98933.4765625,98909.6953125,99068.125,99078.3125,99091.0078125,0.0
1681244882.1311142,100229.609375,100280.4765625,100423.9765625,100435.421875,100411.4609375,100570.515625,100580.0859375,100593.40625,0.0
1681244882.1391816,101192.34375,101243.484375,101387.15625,101398.6015625,101374.4609375,101534.234375,101543.171875,101556.8515625,0.0
1681244882.1391976,100353.8828125,100405.203125,100548.2578125,100559.5234375,100535.5546875,100695.0625,100704.5390625,100717.859375,0.0
1681244882.1479309,98923.28125,98974.515625,99117.3828125,99128.46875,99104.6015625,99263.1171875,99273.3984375,99286.1875,0.0
1681244882.1479428,98972.9921875,99024.3984375,99167.3671875,99178.8046875,99154.4921875,99312.921875,99323.375,99336.1640625,0.0
1681244882.1529353,100468.0546875,100519.375,100662.78125,100674.6796875,100650.1796875,100809.234375,100818.9765625,100832.5703125,0.0
1681244882.1529455,101449.1171875,101500.2578125,101644.0234375,101656.1875,101631.2421875,101791.1015625,101800.0390625,101814.34375,0.0
1681244882.16236,100624.3359375,100675.65625,100819.25,100831.3203125,100806.1953125,100965.875,100974.9921875,100989.296875,0.0
1681244882.167951,99191.234375,99242.2890625,99385.6953125,99397.046875,99372.5546875,99531.515625,99541.53125,99554.765625,0.0
1681244882.1679635,99220.2890625,99271.1640625,99414.3984375,99425.8359375,99401.4296875,99560.578125,99570.859375,99583.5546875,0.0
1681244882.1741693,100708.7421875,100759.34375,100903.2890625,100914.9140625,100890.234375,101050.2734375,101059.3046875,101073.0703125,0.0
1681244882.1741843,101705.5390625,101756.4140625,101900.53125,101912.25,101887.5703125,102047.875,102055.921875,102070.5,0.0
1681244882.1829603,100896.9453125,100947.6328125,101091.3984375,101103.0234375,101078.5234375,101238.390625,101246.96875,101261.09375,0.0
1681244882.1829808,99458.1171875,99508.984375,99652.125,99664.109375,99639.609375,99798.6640625,99808.0546875,99821.46875,0.0
1681244882.1891828,99466.96875,99517.8359375,99661.15625,99672.9609375,99648.375,99807.3359375,99817.0859375,99830.671875,0.0
1681244882.1892052,100947.7265625,100998.2421875,101142.3671875,101154.078125,101129.3125,101289.2578125,101298.375,101312.1484375,0.0
